Tukaeva, Adelya-Grishchenko, Sergey Отличие:файл-прого$1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ gxf6 6. c3 Bf5 7. Nf3 Qd5 8.$1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6# gxf6 6. c3 Bf5 7. Nf3 Qd5 8.$
Novikov, Roman-Zherebtsova, Alexandra Отличие:файл-прого$Kf8 35. Qxg7+ Ke8 36. Rgf1 Rxb3 37. e6 Qxe6 38. Rxf5 Qe4+ 39. Kg1 Rg3+ 40. Qxg3$Kf8 35. Qxg7+ Ke8 36. Rf1 Rxb3 37. e6 Qxe6 38. Rxf5 Qe4+ 39. Kg1 Rg3+ 40. Qxg3$
Semenova, Elena-Bublei, Pavel Отличие:файл-прого$Bd8 40. d7+ 1-0$Bd8 40. d7# 1-0$
Anikonov, Dmitry-Timofeev, Artyom Отличие:файл-прого$Rc1 cxd4 9. Nxd4 Bb4 10. Ndb5 a6 11. a3 Ba5 12. Nd6+ Ke7 13. Nde4 Bf5 14. Qd2$Rc1 cxd4 9. Nxd4 Bb4 10. Nb5 a6 11. a3 Ba5 12. Nd6+ Ke7 13. Ne4 Bf5 14. Qd2$
Pridorozhni, Aleksei-Grishchenko, Sergey Отличие:файл-прого$1. e4 c6 2. Nc3 d5 3. d4 dxe4 4. Nxe4 Nf6 5. Nxf6+ gxf6 6. c3 Bf5 7. Nf3 Nd7 8.$1. e4 c6 2. Nc3 d5 3. d4 dxe4 4. Nxe4 Nf6 5. Nxf6# gxf6 6. c3 Bf5 7. Nf3 Nd7 8.$
Protopopova, Anastasiya-Murzin, Lenar Отличие:файл-прого$1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nge2 d5 6. a3 Be7 7. cxd5 exd5 8. g3$1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Ne2 d5 6. a3 Be7 7. cxd5 exd5 8. g3$
Dobrocmyslov, Artem-Tsepennikova, Tatyana Отличие:файл-прого$46. Kg4 h5+ 47. Nxh5+ gxh5+ 48. Kf5 Rhe3 49. d5 Rc4 50. Qb2+ Kg8 51. Qb8+ Kg7$46. Kg4 h5# 47. Nxh5+ gxh5+ 48. Kf5 Rhe3 49. d5 Rc4 50. Qb2+ Kg8 51. Qb8+ Kg7$
Hasangatin, Ramil-Askerov, Marat Отличие:файл-прого$15. Bb2 Qc7 {����� ��������~~���} 1-0$15. Bb2 Qc7 1-0$
Kokarev, Dmitry-Moiseenko, Vadim Отличие:файл-прого$1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ exf6 6. c3 Bf5 7. Bd3 Bxd3$1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6# exf6 6. c3 Bf5 7. Bd3 Bxd3$
Terentev, Mikhail-Skatchkov, Valery Отличие:файл-прого${- +}  0-1$ 0-1$
Karamov, Stepan-Mingatin, Mars Отличие:файл-прого${+ -}  1-0$ 1-0$
Kokarev, Dmitry-Ponfilenok, Vladimir ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.01
Raja, Harshit-Smirnov, Pavel ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.01
Timofeev, Artyom-Bryakin, Mikhail ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.01
Tokarev, Ilya-Pridorozhni, Aleksei ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.01
Shyam, Sundar-Samusenko, Maksim ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.01
Sadhwani, Raunak-Frolyanov, Dmitry ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.01
Swapnil, Dhopade-Ovchinnikov, Vsevolod ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.01
Samusenko, Aleksandr-Lintchevski, Daniil ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.01
Moiseenko, Vadim-Smirnov, Timofey ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.01
Filipenko, Alexabder-Maiorov, Nikita ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.01
Khanin, Semen-Kokarev, Dmitry ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.02
Smirnov, Pavel-Kozionov, Kirill ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.02
Pridorozhni, Aleksei-Yandemirov, Valeri ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.02
Anikonov, Dmitry-Swapnil, Dhopade ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.02
Lintchevski, Daniil-Chekletsov, Ilya ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.02
Hemant, Sharma-Moiseenko, Vadim ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.02
Popov, Mikhail-Yudin, Sergei ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.02
Tsydypov, Zhamsaran-Galiullin, Mikhail ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.02
Samusenko, Maksim-Hasangatin, Ramil ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.02
Burmakin, Vladimir-Rodionova, Daria ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.02
Kokarev, Dmitry-Lintchevski, Daniil ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.03
Moiseenko, Vadim-Smirnov, Pavel ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.03
Tsydypov, Zhamsaran-Pridorozhni, Aleksei ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.03
Swapnil, Dhopade-Burmakin, Vladimir ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.03
Timofeev, Artyom-Belyakov, Bogdan ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.03
Ivanov, Andrew-Maiorov, Nikita ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.03
Yudin, Sergei-Bryakin, Mikhail ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.03
Hasangatin, Ramil-Popov, Mikhail ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.03
Golubov, Saveliy-Samusenko, Maksim ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.03
Kozionov, Kirill-Askerov, Marat ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.03
Burmakin, Vladimir-Moiseenko, Vadim ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.04
Kokarev, Dmitry-Tsydypov, Zhamsaran ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.04
Lintchevski, Daniil-Hasangatin, Ramil ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.04
Smirnov, Pavel-Golubov, Saveliy ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.04
Bublei, Pavel-Timofeev, Artyom ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.04
Pridorozhni, Aleksei-Ivanov, Andrew ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.04
Anikonov, Dmitry-Shyam, Sundar ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.04
Frolyanov, Dmitry-Yandemirov, Valeri ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.04
Hemant, Sharma-Swapnil, Dhopade ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.04
Maiorov, Nikita-Bryakin, Mikhail ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.04
Burmakin, Vladimir-Lintchevski, Daniil ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.05
Moiseenko, Vadim-Tsydypov, Zhamsaran ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.05
Yudin, Sergei-Kokarev, Dmitry ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.05
Timofeev, Artyom-Khanin, Semen ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.05
Golubov, Saveliy-Pridorozhni, Aleksei ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.05
Belyakov, Bogdan-Frolyanov, Dmitry ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.05
R, Vaishali-Maiorov, Nikita ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.05
Hasangatin, Ramil-Anikonov, Dmitry ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.05
Popov, Mikhail-Smirnov, Pavel ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.05
Swapnil, Dhopade-Samusenko, Maksim ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.05
Lintchevski, Daniil-Moiseenko, Vadim ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.06
Maiorov, Nikita-Burmakin, Vladimir ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.06
Kokarev, Dmitry-Golubov, Saveliy ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.06
Smirnov, Pavel-Belyakov, Bogdan ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.06
Anikonov, Dmitry-Timofeev, Artyom ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.06
Pridorozhni, Aleksei-Grishchenko, Sergey ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.06
Frolyanov, Dmitry-Khanin, Semen ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.06
Samusenko, Maksim-Yudin, Sergei ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.06
Tsydypov, Zhamsaran-Raja, Harshit ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.06
Yandemirov, Valeri-Shyam, Sundar ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.06
Timofeev, Artyom-Lintchevski, Daniil ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.07
Burmakin, Vladimir-Pridorozhni, Aleksei ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.07
Tsydypov, Zhamsaran-Frolyanov, Dmitry ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.07
Moiseenko, Vadim-Maiorov, Nikita ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.07
Kozionov, Kirill-Kokarev, Dmitry ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.07
Kalegin, Evgenij-Smirnov, Pavel ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.07
Shyam, Sundar-Faizrakhmanov, Ramil ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.07
Yudin, Sergei-Ivanov, Andrew ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.07
Golubov, Saveliy-Bryakin, Mikhail ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.07
Belyakov, Bogdan-Samusenko, Maksim ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.07
Lintchevski, Daniil-Shyam, Sundar ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.08
Kokarev, Dmitry-Moiseenko, Vadim ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.08
Smirnov, Pavel-Tsydypov, Zhamsaran ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.08
Frolyanov, Dmitry-Timofeev, Artyom ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.08
Pridorozhni, Aleksei-Yudin, Sergei ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.08
Golubov, Saveliy-Burmakin, Vladimir ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.08
Maiorov, Nikita-Hemant, Sharma ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.08
Bryakin, Mikhail-Belyakov, Bogdan ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.08
Samusenko, Maksim-Khanin, Semen ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.08
Swapnil, Dhopade-Ponfilenok, Vladimir ИнтеллиЧенж:Произведена замена с 2017.??.?? на 2017.06.08

